SWSN_ID,SWSN_Site,CSN_macro_group,Mean_Rooms,Size_Class,GH_Count,GK_Count,Dshp_Count,Biwall_Count,Triwall_Count,PubArch,EASTING,NORTHING
3146,Iyanbito Great Kiva,Rio Puerco of the West,,,0,1,0,0,0,1,730000,3930000
733,Jaquez,Middle San Juan,200,2,1,2,0,0,0,3,760000,4060000
3147,Kearn's Site,San Juan Foothills,,,0,1,0,0,0,1,680000,4150000
903,Kello Blancett,Middle San Juan,200,2,1,1,0,0,0,2,760000,4080000
3149,Kin Bineola,Central San Juan Basin,197,2,1,2,0,0,0,3,760000,3990000
3363,Kin Bineola Great Kiva 2,Central San Juan Basin,7,1,0,1,0,0,0,1,760000,3980000
3150,Kin Cheops I,Mariana Mesa/Quemado,7,1,1,1,0,0,0,2,740000,3830000
971,Kin Cheops II,Mariana Mesa/Quemado,25,1,1,1,0,0,0,2,740000,3830000
3152,Kin Hochoi,Rio Puerco of the West,40,1,1,2,0,0,0,3,680000,3920000
3153,Kin Indian Ruin,Central San Juan Basin,40,1,1,0,0,0,0,1,770000,4000000
3154,Kin Kletso,Chaco Canyon,6,1,1,0,0,0,0,1,770000,4000000
3155,Kin Klizhin,Central San Juan Basin,18,1,1,0,0,0,0,1,760000,3990000
3156,Kin Nahasbas,Chaco Canyon,16,1,1,1,0,0,0,2,780000,3990000
3157,Kin Sani,Lobo Mesa,12,1,1,4,0,0,0,4+,770000,3930000
3158,Kin Tliish,Lobo Mesa,12,1,1,4,0,0,0,4+,780000,3920000
3160,Kin Ya'a,Lobo Mesa,44,1,1,1,0,0,0,2,760000,3950000
989,Kinlichee,Defiance Plateau,150,2,1,2,0,0,0,3,640000,3960000
3164,LA 100280,Rio Puerco of the West,,,0,1,0,0,0,1,730000,3930000
3000,LA 102391,Acoma,10,1,0,1,0,0,0,1,780000,3840000
3347,LA 103458,Chuska Slope,12,1,0,1,0,0,0,1,700000,3960000
3165,LA 115436,Cibola,20,1,0,1,0,0,0,1,700000,3870000
3001,LA 11670,Acoma,14,1,1,1,0,0,0,2,780000,3850000
3166,LA 12573 A,Lobo Mesa,20,1,1,1,0,0,0,2,780000,3920000
3167,LA 126820,Central San Juan Basin,,,0,1,0,0,0,1,780000,3980000
3168,LA 126862,Central San Juan Basin,7,1,0,1,0,0,0,1,780000,3980000
3169,LA 17226,Lobo Mesa,22,1,1,1,0,0,0,2,750000,3960000
3171,LA 2520,Middle San Juan,60,1,1,0,0,0,0,1,740000,4080000
3336,LA 40082,Central San Juan Basin,16,1,1,0,0,0,0,1,780000,3980000
